id,username,password,name,birthdate,deathdate,originid,organizationid,retired
1,thunder,secure_password,John Thunder,1985-03-15 00:00:00,2099-12-31 00:00:00,1,1,false
2,speedster,secure_password,Linda Speedster,1990-06-20 00:00:00,2099-12-31 00:00:00,2,1,false
3,shadow,secure_password,David Shadow,1988-09-10 00:00:00,2099-12-31 00:00:00,3,2,false
4,flamestrike,secure_password,Emma Flamestrike,1992-04-01 00:00:00,2099-12-31 00:00:00,4,2,false
5,blade,secure_password,Mark Blade,1987-02-05 00:00:00,2099-12-31 00:00:00,5,3,false
6,icewind,secure_password,Sarah Icewind,1991-12-18 00:00:00,2099-12-31 00:00:00,6,3,false
7,mindbender,secure_password,Michael Mindbender,1989-07-21 00:00:00,2099-12-31 00:00:00,7,4,false
8,illusionist,secure_password,Lisa Illusionist,1993-10-10 00:00:00,2099-12-31 00:00:00,8,4,false
9,storm,secure_password,Robert Storm,1986-11-30 00:00:00,2099-12-31 00:00:00,9,5,false
10,lightning,secure_password,Anna Lightning,1995-08-14 00:00:00,2099-12-31 00:00:00,10,5,false
11,psycho,secure_password,Thomas Psycho,1983-07-02 00:00:00,2099-12-31 00:00:00,11,6,false
12,whirlwind,secure_password,Emily Whirlwind,1994-05-07 00:00:00,2099-12-31 00:00:00,12,6,false
13,firestorm,secure_password,George Firestorm,1988-12-25 00:00:00,2099-12-31 00:00:00,13,7,false
14,icicle,secure_password,Isabelle Icicle,1997-02-18 00:00:00,2099-12-31 00:00:00,14,7,false
15,thunderstrike,secure_password,William Thunderstrike,1985-11-19 00:00:00,2099-12-31 00:00:00,15,8,false
16,magician,secure_password,Mia Magician,1992-09-14 00:00:00,2099-12-31 00:00:00,16,8,false
17,tempest,secure_password,Oliver Tempest,1987-06-07 00:00:00,2099-12-31 00:00:00,17,9,false
18,hypnotist,secure_password,Hannah Hypnotist,1990-04-30 00:00:00,2099-12-31 00:00:00,18,9,false
19,blizzard,secure_password,Edward Blizzard,1986-03-02 00:00:00,2099-12-31 00:00:00,19,10,false
20,tornado,secure_password,Grace Tornado,1993-02-28 00:00:00,2099-12-31 00:00:00,20,10,false
